0,"Poland"
1,"Bulgaria"
2,"Italy"
3,"Malta"
4,"Spain"
5,"Finland"
6,"Portugal"
7,"France"
8,"Sweden"
9,"Latvia"
10,"Germany"
11,"Ireland"
12,"Greece"
13,"Luxembourg"
14,"Belgium"
15,"Estonia"
16,"Hungary"
17,"Denmark"
18,"Lithuania"
19,"Romania"
20,"Netherlands"
21,"Slovakia"
22,"Austria"
23,"Czechia"
24,"Slovenia"
25,"Croatia"
26,"Cyprus"
