197795,839,"2023-02-09"
2341,298,"2023-02-09"
28150,827,"2023-02-09"
229352,436,"2023-02-09"
197702,529,"2023-02-09"
197632,191,"2023-02-09"
197582,370,"2023-02-09"
197717,377,"2023-02-09"
197742,530,"2023-02-09"
28298,6,"2023-02-09"
96991,329,"2023-02-09"
197628,207,"2023-02-09"
239255,369,"2023-02-09"
183916,437,"2023-02-09"
96833,140,"2023-02-09"
197794,842,"2023-02-09"
197416,319,"2023-02-09"
197819,270,"2023-02-09"
197436,511,"2023-02-09"
209140,500,"2023-02-09"
239256,260,"2023-02-09"
197804,856,"2023-02-09"
124807,512,"2023-02-09"
202036,513,"2023-02-09"
197443,501,"2023-02-09"
197694,281,"2023-02-09"
840,344,"2023-02-09"
197728,717,"2023-02-09"
197718,531,"2023-02-09"
125027,14,"2023-02-09"
204419,550,"2023-02-09"
125025,857,"2023-02-09"
197799,371,"2023-02-09"
124785,532,"2023-02-09"
197549,490,"2023-02-09"
94649,365,"2023-02-09"
197780,551,"2023-02-09"
197452,552,"2023-02-09"
197557,553,"2023-02-09"
204420,438,"2023-02-09"
197618,5,"2023-02-09"
197645,439,"2023-02-09"
197543,554,"2023-02-09"
96952,533,"2023-02-09"
88715,137,"2023-02-09"
198063,770,"2023-02-09"
96830,828,"2023-02-09"
23816,829,"2023-02-09"
197444,555,"2023-02-09"
197457,440,"2023-02-09"
198176,121,"2023-02-09"
34578,534,"2023-02-09"
197596,78,"2023-02-09"
197514,72,"2023-02-09"
193419,248,"2023-02-09"
96752,488,"2023-02-09"
2054,102,"2023-02-09"
135511,291,"2023-02-09"
125023,219,"2023-02-09"
197682,384,"2023-02-09"
197800,60,"2023-02-09"
197412,515,"2023-02-09"
197459,493,"2023-02-09"
124895,73,"2023-02-09"
124586,830,"2023-02-09"
197526,556,"2023-02-09"
96780,250,"2023-02-09"
197770,394,"2023-02-09"
197398,543,"2023-02-09"
124715,243,"2023-02-09"
122978,535,"2023-02-09"
218349,358,"2023-02-09"
5565,516,"2023-02-09"
197846,536,"2023-02-09"
197594,79,"2023-02-09"
58789,557,"2023-02-09"
197624,342,"2023-02-09"
221463,307,"2023-02-09"
197392,537,"2023-02-09"
96740,544,"2023-02-09"
96772,352,"2023-02-09"
197837,545,"2023-02-09"
197516,413,"2023-02-09"
124770,364,"2023-02-09"
189065,418,"2023-02-09"
28141,831,"2023-02-09"
197517,559,"2023-02-09"
112747,538,"2023-02-09"
125021,143,"2023-02-09"
197627,471,"2023-02-09"
197447,397,"2023-02-09"
197840,38,"2023-02-09"
197518,414,"2023-02-09"
197767,255,"2023-02-09"
197626,855,"2023-02-09"
125109,852,"2023-02-09"
96771,560,"2023-02-09"
197491,229,"2023-02-09"
96934,197,"2023-02-09"
96837,539,"2023-02-09"
197839,561,"2023-02-09"
197469,117,"2023-02-09"
4246,244,"2023-02-09"
197585,148,"2023-02-09"
197401,396,"2023-02-09"
124887,252,"2023-02-09"
191693,289,"2023-02-09"
125068,562,"2023-02-09"
197818,609,"2023-02-09"
22858,106,"2023-02-09"
96734,103,"2023-02-09"
96668,155,"2023-02-09"
197519,415,"2023-02-09"
197415,320,"2023-02-09"
197528,610,"2023-02-09"
197523,540,"2023-02-09"
197406,563,"2023-02-09"
197743,271,"2023-02-09"
197546,491,"2023-02-09"
197438,701,"2023-02-09"
23699,136,"2023-02-09"
197740,702,"2023-02-09"
197525,245,"2023-02-09"
197530,462,"2023-02-09"
197445,611,"2023-02-09"
96829,700,"2023-02-09"
124822,541,"2023-02-09"
130833,272,"2023-02-09"
197699,273,"2023-02-09"
118949,612,"2023-02-09"
97968,113,"2023-02-09"
197481,263,"2023-02-09"
124891,305,"2023-02-09"
197532,463,"2023-02-09"
197843,157,"2023-02-09"
197395,33,"2023-02-09"
197482,211,"2023-02-09"
124735,230,"2023-02-09"
28389,464,"2023-02-09"
197692,757,"2023-02-09"
125063,293,"2023-02-09"
124866,237,"2023-02-09"
204421,526,"2023-02-09"
197460,546,"2023-02-09"
197737,841,"2023-02-09"
197697,382,"2023-02-09"
96648,8,"2023-02-09"
1909,277,"2023-02-09"
38398,16,"2023-02-09"
197461,547,"2023-02-09"
197698,542,"2023-02-09"
230085,587,"2023-02-09"
124738,527,"2023-02-09"
197393,688,"2023-02-09"
197635,142,"2023-02-09"
95074,297,"2023-02-09"
23781,564,"2023-02-09"
204336,565,"2023-02-09"
23768,588,"2023-02-09"
1927,302,"2023-02-09"
197483,264,"2023-02-09"
124808,294,"2023-02-09"
197611,420,"2023-02-09"
197494,107,"2023-02-09"
96709,65,"2023-02-09"
125042,589,"2023-02-09"
197777,566,"2023-02-09"
28399,567,"2023-02-09"
228286,590,"2023-02-09"
197721,591,"2023-02-09"
124996,465,"2023-02-09"
197458,156,"2023-02-09"
124806,249,"2023-02-09"
205452,218,"2023-02-09"
197493,122,"2023-02-09"
197592,383,"2023-02-09"
197835,569,"2023-02-09"
197735,592,"2023-02-09"
197653,330,"2023-02-09"
4560,570,"2023-02-09"
190713,571,"2023-02-09"
197623,206,"2023-02-09"
33982,346,"2023-02-09"
209896,572,"2023-02-09"
197462,548,"2023-02-09"
197638,593,"2023-02-09"
197634,7,"2023-02-09"
124828,109,"2023-02-09"
96820,94,"2023-02-09"
96936,348,"2023-02-09"
208722,549,"2023-02-09"
24505,177,"2023-02-09"
124691,227,"2023-02-09"
197522,276,"2023-02-09"
98341,573,"2023-02-09"
38511,119,"2023-02-09"
197538,466,"2023-02-09"
197841,574,"2023-02-09"
204418,184,"2023-02-09"
197662,39,"2023-02-09"
130256,575,"2023-02-09"
197567,613,"2023-02-09"
96978,115,"2023-02-09"
236053,175,"2023-02-09"
118859,356,"2023-02-09"
193292,602,"2023-02-09"
190518,773,"2023-02-09"
120478,323,"2023-02-09"
125128,12,"2023-02-09"
197497,326,"2023-02-09"
197824,469,"2023-02-09"
197540,180,"2023-02-09"
236051,417,"2023-02-09"
24942,286,"2023-02-09"
212855,614,"2023-02-09"
197805,223,"2023-02-09"
124722,185,"2023-02-09"
124734,619,"2023-02-09"
197711,75,"2023-02-09"
72779,620,"2023-02-09"
28347,138,"2023-02-09"
124799,595,"2023-02-09"
197427,621,"2023-02-09"
197647,622,"2023-02-09"
124862,238,"2023-02-09"
124802,13,"2023-02-09"
28429,623,"2023-02-09"
190519,615,"2023-02-09"
125005,616,"2023-02-09"
88882,597,"2023-02-09"
233862,598,"2023-02-09"
239260,468,"2023-02-09"
197464,603,"2023-02-09"
124784,141,"2023-02-09"
4289,71,"2023-02-09"
124701,153,"2023-02-09"
197465,604,"2023-02-09"
197802,605,"2023-02-09"
197734,779,"2023-02-09"
238639,577,"2023-02-09"
202112,624,"2023-02-09"
124836,380,"2023-02-09"
28294,625,"2023-02-09"
107212,347,"2023-02-09"
197542,756,"2023-02-09"
197432,617,"2023-02-09"
237779,599,"2023-02-09"
28288,17,"2023-02-09"
197838,274,"2023-02-09"
197687,257,"2023-02-09"
30482,57,"2023-02-09"
234344,671,"2023-02-09"
197889,606,"2023-02-09"
129073,672,"2023-02-09"
125038,673,"2023-02-09"
99283,421,"2023-02-09"
124692,226,"2023-02-09"
125093,778,"2023-02-09"
28586,56,"2023-02-09"
36392,626,"2023-02-09"
